ID,Title,Studio,Status,Sound,Versions,RecRetPrice,Rating,Year,Genre,Aspect,Rank
207,Conan The Barbarian,Universal,Out,1,LBX,24.98,R,1981,Action/Adventure,2.35:1,1459
208,Conan The Barbarian: Collector's Edtion,Universal,Out,1,"LBX, 16:9",29.98,R,1982,SciFi,2.35:1,355
209,Conan The Destroyer,Universal,Out,1,LBX,24.98,PG,1984,Action/Adventure,2.35:1,1029
210,Congo,Paramount,Out,5.1,"LBX, 16:9",29.99,PG-13,1995,Action/Adventure,1.85:1,589
211,Conspiracy Theory,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",24.98,R,1997,Action/Adventure,2.35:1,1908
212,Contact: Special Edition,Warner Brothers,Out,5.1,"LBX, 16:9",24.98,PG,1997,SciFi,2.35:1,955
213,Cool Hand Luke,Warner Brothers,Out,2,"4:3, LBX, 16:9",19.98,NR,1967,Action/Adventure,2.35:1,1912
214,Cooley High,MGM/UA,Out,1,4:03,24.98,PG,1975,Comedy,1.33:1,59
215,Cop & A Half,Universal,Out,SUR,"LBX, 16:9",24.98,PG,1993,Comedy,1.85:1,360
216,Copycat: Special Edition,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",24.98,R,1995,Action/Adventure,2.35:1,225
217,"Corrina, Corrina",New Line,Out,5.1,"4:3, LBX, 16:9",24.98,PG,1994,Drama,1.85:1,1490
218,Corruptor,New Line,Out,5.1,"LBX, 16:9",24.98,R,1999,Action/Adventure,2.35:1,914
219,Court Jester,Paramount,Out,1,"LBX, 16:9",29.99,NR,1956,Comedy,1.85:1,1267
220,Cowboy Way,Universal,Out,5.1,"LBX, 16:9",24.98,PG-13,1994,Comedy,1.85:1,1880
221,Cowboys,Warner Brothers,Out,5.1,"LBX, 16:9",24.98,PG,1972,Western,2.20:1,2104
222,Crash,New Line,Out,2,"LBX, 16:9",24.98,NC-17,1996,Drama,1.66:1,1621
223,CreepShow,Warner Brothers,Out,SUR,LBX,19.98,R,1982,Horror,1.85:1,388
224,Crooklyn,Universal,Out,5.1,"LBX, 16:9",24.98,PG-13,1994,Comedy,1.85:1,144
225,Crush,Warner Brothers,Out,5.1,LBX,24.98,R,1993,Horror,1.85:1,917
226,Cry Freedom,Universal,Out,SUR,LBX,26.98,PG,1987,Drama,2.35:1,661
227,Cry In The Dark,Warner Brothers,Out,SUR,"LBX, 16:9",19.98,PG-13,1988,Drama,2.35:1,1948
228,Cyborg,MGM/UA,Out,2,"4:3, LBX",24.98,R,1989,SciFi,1.85:1,781
229,Damage,New Line,Out,SUR,"LBX, 16:9",24.98,UNK,1992,Drama,1.66:1,1332
230,Dangerous Beauty,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",19.98,R,1998,Drama,2.35:1,944
231,Dangerous Ground,New Line,Out,5.1,"4:3, LBX, 16:9",24.98,R,1997,Action/Adventure,1.85:1,1658
